"","state","county","mode","votes","candidate","state_po","state_fips","state_cen","state_ic","jurisdiction","year","office","party","stage","writein","unofficial","dataverse","caucus","source","version"
"1","South Carolina","ABBEVILLE","ELECTION DAY","3","MICHAEL BENNET","SC",45,57,48,"ABBEVILLE",2020,"president","democrat","pri","FALSE","TRUE","president","FALSE","https://www.enr-scvotes.org/","03/09/2020"
"2","South Carolina","AIKEN","ELECTION DAY","24","MICHAEL BENNET","SC",45,57,48,"AIKEN",2020,"president","democrat","pri","FALSE","TRUE","president","FALSE","https://www.enr-scvotes.org/","03/09/2020"
"3","South Carolina","ALLENDALE","ELECTION DAY","0","MICHAEL BENNET","SC",45,57,48,"ALLENDALE",2020,"president","democrat","pri","FALSE","TRUE","president","FALSE","https://www.enr-scvotes.org/","03/09/2020"
"4","South Carolina","ANDERSON","ELECTION DAY","9","MICHAEL BENNET","SC",45,57,48,"ANDERSON",2020,"president","democrat","pri","FALSE","TRUE","president","FALSE","https://www.enr-scvotes.org/","03/09/2020"
"5","South Carolina","BAMBERG","ELECTION DAY","4","MICHAEL BENNET","SC",45,57,48,"BAMBERG",2020,"president","democrat","pri","FALSE","TRUE","president","FALSE","https://www.enr-scvotes.org/","03/09/2020"
"6","South Carolina","BARNWELL","ELECTION DAY","8","MICHAEL BENNET","SC",45,57,48,"BARNWELL",2020,"president","democrat","pri","FALSE","TRUE","president","FALSE","https://www.enr-scvotes.org/","03/09/2020"
"7","South Carolina","BEAUFORT","ELECTION DAY","31","MICHAEL BENNET","SC",45,57,48,"BEAUFORT",2020,"president","democrat","pri","FALSE","TRUE","president","FALSE","https://www.enr-scvotes.org/","03/09/2020"
"8","South Carolina","BERKELEY","ELECTION DAY","25","MICHAEL BENNET","SC",45,57,48,"BERKELEY",2020,"president","democrat","pri","FALSE","TRUE","president","FALSE","https://www.enr-scvotes.org/","03/09/2020"
"9","South Carolina","CALHOUN","ELECTION DAY","6","MICHAEL BENNET","SC",45,57,48,"CALHOUN",2020,"president","democrat","pri","FALSE","TRUE","president","FALSE","https://www.enr-scvotes.org/","03/09/2020"
"10","South Carolina","CHARLESTON","ELECTION DAY","41","MICHAEL BENNET","SC",45,57,48,"CHARLESTON",2020,"president","democrat","pri","FALSE","TRUE","president","FALSE","https://www.enr-scvotes.org/","03/09/2020"
"11","South Carolina","CHEROKEE","ELECTION DAY","7","MICHAEL BENNET","SC",45,57,48,"CHEROKEE",2020,"president","democrat","pri","FALSE","TRUE","president","FALSE","https://www.enr-scvotes.org/","03/09/2020"
"12","South Carolina","CHESTER","ELECTION DAY","10","MICHAEL BENNET","SC",45,57,48,"CHESTER",2020,"president","democrat","pri","FALSE","TRUE","president","FALSE","https://www.enr-scvotes.org/","03/09/2020"
"13","South Carolina","CHESTERFIELD","ELECTION DAY","6","MICHAEL BENNET","SC",45,57,48,"CHESTERFIELD",2020,"president","democrat","pri","FALSE","TRUE","president","FALSE","https://www.enr-scvotes.org/","03/09/2020"
"14","South Carolina","CLARENDON","ELECTION DAY","9","MICHAEL BENNET","SC",45,57,48,"CLARENDON",2020,"president","democrat","pri","FALSE","TRUE","president","FALSE","https://www.enr-scvotes.org/","03/09/2020"
